0.000000 1.000000 2.000000 3.000000
0.010000 11.000000 25.000000 -3.000010
0.020000 151.000000 341.000122 280.000031
0.030000 2051.001221 -38052.003906 51024.351562
0.040000 -398979.031250 -104593576.000000 -78129744.000000
0.050000 -1042344960.000000 -31172142825472.000000 41730774663168.000000
0.060000 -311712049790976.000000 43497863878570605019136.000000 32492126986989358546944.000000
0.070000 434978620771307540709376.000000 10128187297812091524249655997791993856.000000 -13558808567149544873620358438546571264.000000
0.080000 101281875513422115698955362971326349312.000000 inf inf
0.090000 inf -nan -nan
0.100000 -nan -nan -nan
0.110000 -nan -nan -nan
0.120000 -nan -nan -nan
0.130000 -nan -nan -nan
0.140000 -nan -nan -nan
0.150000 -nan -nan -nan
0.160000 -nan -nan -nan
0.170000 -nan -nan -nan
0.180000 -nan -nan -nan
0.190000 -nan -nan -nan
0.200000 -nan -nan -nan
0.210000 -nan -nan -nan
0.220000 -nan -nan -nan
0.230000 -nan -nan -nan
0.240000 -nan -nan -nan
0.250000 -nan -nan -nan
0.260000 -nan -nan -nan
0.270000 -nan -nan -nan
0.280000 -nan -nan -nan
0.290000 -nan -nan -nan
0.300000 -nan -nan -nan
0.310000 -nan -nan -nan
0.320000 -nan -nan -nan
0.330000 -nan -nan -nan
0.340000 -nan -nan -nan
0.350000 -nan -nan -nan
0.360000 -nan -nan -nan
0.370000 -nan -nan -nan
0.380000 -nan -nan -nan
0.390000 -nan -nan -nan
0.400000 -nan -nan -nan
0.410000 -nan -nan -nan
0.420000 -nan -nan -nan
0.430000 -nan -nan -nan
0.440000 -nan -nan -nan
0.450000 -nan -nan -nan
0.460000 -nan -nan -nan
0.470000 -nan -nan -nan
0.480000 -nan -nan -nan
0.490000 -nan -nan -nan
0.500000 -nan -nan -nan
0.510000 -nan -nan -nan
0.520000 -nan -nan -nan
0.530000 -nan -nan -nan
0.540000 -nan -nan -nan
0.550000 -nan -nan -nan
0.560000 -nan -nan -nan
0.570000 -nan -nan -nan
0.580000 -nan -nan -nan
0.590000 -nan -nan -nan
0.600000 -nan -nan -nan
0.610000 -nan -nan -nan
0.620000 -nan -nan -nan
0.630000 -nan -nan -nan
0.640000 -nan -nan -nan
0.650000 -nan -nan -nan
0.660000 -nan -nan -nan
0.670000 -nan -nan -nan
0.680000 -nan -nan -nan
0.690000 -nan -nan -nan
0.700000 -nan -nan -nan
0.710000 -nan -nan -nan
0.720000 -nan -nan -nan
0.730000 -nan -nan -nan
0.740000 -nan -nan -nan
0.750000 -nan -nan -nan
0.760000 -nan -nan -nan
0.770000 -nan -nan -nan
0.780000 -nan -nan -nan
0.790000 -nan -nan -nan
0.800000 -nan -nan -nan
0.810000 -nan -nan -nan
0.820000 -nan -nan -nan
0.830000 -nan -nan -nan
0.840000 -nan -nan -nan
0.850000 -nan -nan -nan
0.860000 -nan -nan -nan
0.870000 -nan -nan -nan
0.880000 -nan -nan -nan
0.890000 -nan -nan -nan
0.900000 -nan -nan -nan
0.910000 -nan -nan -nan
0.920000 -nan -nan -nan
0.930000 -nan -nan -nan
0.940000 -nan -nan -nan
0.950000 -nan -nan -nan
0.960000 -nan -nan -nan
0.970000 -nan -nan -nan
0.980000 -nan -nan -nan
0.990000 -nan -nan -nan
